majorSeq,major,interest,property,공통과목,일반선택과목,진로선택과목
10006,가정교육과,"평소 친구, 가족, 주변 사람 등 사람에 대해 관심이 많거나 주변 사람의 고민을 들어 주는 상담에 흥미가 있다면 이 학과에 관심을 가져 볼 만합니다. 특히 인간에 대한 사랑과 타인에 대한 배려, 봉사 정신 등이 있다면 학과 공부에 도움이 됩니다. 기술ㆍ가정 교과목이나 심리 및 교육에 적성이 있다면 도움이 됩니다. ","영양학, 의류학, 주거학, 가족학 등의 교과내용학을 배웁니다. 가정과교육론, 가정과교수법 등의 교과교육학에 대한 전문적인 지식을 배웁니다. 조리실습, 의복구성실습, 주거실습 등을 통해 가정교과에 대한 이론적인 지식뿐 아니라 서양의복 구성, 한국 조리 및 서양 조리 실습, 조리과학 등의 실험ㆍ실습 교과목을 통하여 실천적 능력을 함양합니다.","영어, 기술ㆍ가정, 윤리","기술ㆍ가정교과 : 기술ㆍ가정<br>사회교과 : 생활과 윤리, 윤리와 사상<br>교양교과 : 철학, 심리학, 교육학","공학일반, 창의경영, 해양 문화와 기술, 가정과학, 지식재산 일반"
10,간호학과,"인체나 질병, 생명 등에 대한 관심이 있고, 남을 도와주는 것을 좋아하는 사람이면 좋습니다. 간호학은 기초 의학 분야를 공부하기 때문에 생물이나 화학 등의 교과목을 잘해야 하고, 병원에서 다양한 사람과 아픈 환자들을 만나고 함께 생활해야 하기 때문에 대인 관계 능력이 좋아야 합니다.",신체적으로나 정신적으로 건강하게 일생을 살아가는 것은 가장 큰 복이라고 할 수 있습니다. 아픈 사람을 돌보며 다른 사람을 도우며 사는 삶에 대해 배울 수 있는 곳이 간호학과입니다. 과거에는 여성들만 진학하는 학과라는 편견이 있었지만 남성들도 점차 많이 진학하고 있습니다.,"영어, 과학, 윤리","영어교과 : 영어Ⅰ, 영어Ⅱ, 영어 독해와 작문<br>과학교과 : 생명과학Ⅰ, 화학Ⅰ<br>사회교과 : 생활과 윤리, 윤리와 사상<br>교양교과 : 철학, 심리학","생명과학Ⅱ, 화학Ⅱ"
11,건강관리학과,기본적으로 스포츠를 좋아하고 체육 교과목에 대한 관심이 있어야 합니다. 관심있는 스포츠 종목에 대한 지식과 다양한 기술을 알고 있어야 적절한 판단을 할 수 있습니다. 고객의 상태나 특성을 빠르게 분석하고 올바른 판단을 할 수 있는 능력이 요구됩니다.,"운동은 의학적인 효과를 입증 받고 있고, 국가에서도 국민의 건강과 삶의 질 향상을 위해 운동이 적극 권장되고 있습니다. 지역사회는 물론 국가차원에서도 건강증진을 위한 과학적인 운동방법(운동처방)에 대한 요구와 수요가 점점 많아지고 있습니다. 과도한 운동이나 잘못된 방식의 운동은 오히려 우리 몸에 해가될 수 있습니다. 올바른 자세로 적정한 운동을 하도록 지도하는 일은 건강관리학을 전공한 전문가의 몫입니다.
","체육, 윤리","체육교과 : 체육, 운동과 건강<br>사회교과 : 생활과 윤리, 윤리와 사상<br>교양교과 : 철학, 심리학, 교육학","스포츠 생활, 체육 탐구"
21002,건설공학교육과,"건축과 토목에 대한 관심을 바탕으로 재료에 대한 특성에 적성이 있고 기본적으로 수학이나 물리학 과목에서 다루는 수식을 계산하는 것을 좋아하는 학생들에게 적합합니다. 특히 건축, 토목, 도로, 항만, 시설, 구조학 등과 같은 분야에 흥미가 있으면 좋습니다. 새로운 것에 호기심이 많고 궁금증을 풀기 위해 끝까지 노력하는 성격이면 더욱 좋습니다. 복잡한 시스템의 구조를 정확하게 분석하고 잘 이해할 수 있는 능력이 있으면 유리합니다.",건설공학교육과는 건설공학분야 교사 및 전문가로서 지식과 역량을 갖출 수 있도록 건설공학 전반에 대한 교과이론 및 NCS 기반 실험실습을 교육하고 건설에 대한 이론과 실무 능력을 배양하며 일반교육학 및 교과교육학 이수를 통해 교직에 대한 종합적인 이해와 교육관을 가진 교육전문가로서 능력을 함양하게 하여 건설공학 교육분야를 이끌어나갈 우수한 교사를 양성하고 교육 전문가 및 건설공학 현장 전문가로서 기술을 학습합니다. ,"수학, 과학","수학교과 : 수학ⅠㆍⅡ, 미적분, 확률과 통계<br>과학교과 : 물리학Ⅰ, 화학Ⅰ<br>기술ㆍ가정교과 : 기술ㆍ가정, 정보","기하, 수학과제 탐구, 물리학Ⅱ, 화학Ⅱ, 생활과 과학, 융합 과학, 공학 일반"
17,건축공학과,"평소 주변에서 흔히 볼 수 있는 다양한 건축물에 대해 관심이 있다거나. 사진 또는 그림 그리기를 좋아하는 경우 건축계획과 건축설계 과목을 배우는데 도움이 됩니다. 건축공학은 구조역학, 재료공학, 각종 시험 등 수학 및 물리적인 지식을 많이 요구하는데 학교에서 수학이나 물리, 화학 등의 과목을 잘하면 도움이 됩니다. 건축설계나 구조분석 등을 위해 Auto CAD, 3D Max, 스케치업, 레빗 등과 같은 PC용 전문 프로그램을 많이 사용하는데 평소 PC 사용에 익숙하고 새로운 프로그램을 이용 하는 것에 두려움이 없으면 도움이 됩니다.","건축공학은 우리 주변에서 흔히 볼수 있는 주택ㆍ아파트, 학교, 사무실, 스포츠 경기장 등 여러 형태와 용도를 가진 하나의 건축물이 만들어지기까지 필요한 기술과 방법을 배우는 학문이라 볼 수 있습니다. 최근에는 건축과 관련된 경제, 경영, 건설IT 등 융복합 내용까지 다루고 있습니다. 이에 반해 건축학과는 공학적 지식과 함께 인간의 문화와 역사, 예술사와 철학등을 포함한 문화ㆍ사회적인 분야까지 보다 포괄적으로 배우는 것이 다른 점이라 할 수 있습니다.  ","수학, 사회, 과학, 기술ㆍ가정","수학교과 : 수학ⅠㆍⅡ, 미적분, 확률과 통계<br>사회교과 : 한국지리, 세계지리, 사회ㆍ문화<br>과학교과 : 물리학Ⅰ, 화학Ⅰ, 지구과학Ⅰ<br>기술ㆍ가정교과 : 기술ㆍ가정, 정보","실용수학, 기하, 수학과제 탐구, 사회문제 탐구, 물리학Ⅱ, 화학Ⅱ, 지구과학Ⅱ, 생활과 과학, 융합과학, 공학 일반"
20,건축학과,"건축은 일상생활에 밀접한 관계를 갖고 있어 문화와 예술을 반영하므로, 사회현상이나 문화?예술과 관련된 분야에 폭넓은 관심을 가지고 있으면 좋습니다. 건축 공간을 상상하고 구성해 볼 수 있는 공간 지각력,과 건축물의 실내외 구성에 필요한 미술 감각, 그리고 사용 목적에 맞는 건축물을 만들기 위한 여러 분야에 대한 폭넓은 관심과 자료수집 능력이 필요합니다. 건축물을 설계하는데 필요한 다양한 프로그램을 쉽게 배울수 있도록 컴퓨터 활용능력도 갖추면 좋습니다.","건축ㆍ건설 기술은 우리 생활과 삶의 방식을 기초로 빠르게 발전하여 다양화, 첨단화, 정보화되고 있습니다. 건축 설계에 따른 구조 설계, 건축 시공과 건축물의 관리까지 전 분야에 걸쳐 ICT 기술을 활용하고 있습니다. 최근에는 BIM(Building Information Modeling) 설계, 증강현실(AR)과 가상현실(VR)을 이용한 건축 설계, 3D프린터를 활용한 건축 3D모델링, 드론을 활용한 건축 측량, 사물인터넷(IoT)을 활용한 건축 공간 구성, 인공지능(AI)을 활용한 건축 법규 검토 등 최신 기술이 건축학과에 접목하여 사용되고 있습니다.","수학, 사회, 과학, 기술ㆍ가정","수학교과 : 수학ⅠㆍⅡ, 미적분, 확률과 통계<br>사회교과 : 한국지리, 세계지리, 사회ㆍ문화<br>과학교과 : 물리학Ⅰ, 화학Ⅰ, 지구과학Ⅰ<br>기술ㆍ가정교과 : 기술ㆍ가정, 정보","실용수학, 기하, 수학과제 탐구, 사회문제 탐구, 물리학Ⅱ, 화학Ⅱ, 지구과학Ⅱ, 생활과 과학, 융합과학, 공학 일반"
21,게임공학과,"PC나 모바일, 게임 기기를 이용한 게임을 좋아하고 특히 게임을 직접 개발 하는 것에 흥미를 가진 사람에게 유리합니다. 게임 소프트웨어를 개발하기 위해서는 프로그래밍 개발 언어를 배워야 하는데 이에 필요한 논리적인 사고능력과 게임기획자, 게임 디자이너와 함께 일하는 만큼 팀에서 의사소통하면서 역할을 할 수 있는 능력이 필요합니다. ","게임공학은 스마트폰, 게임콘솔, VR기기, 컴퓨터 등 다양한 기기에서 작동하는 게임개발에 필요한 프로그래밍 방법과 게임 기획에 대해 배우게 됩니다. 게임 기획은 크게 전반적인 게임구성과 규칙을 만드는 시스템 기획자와 게임의 난이도, 사용자의 플레이 패턴 등을 기획하는 레벨기획자로 구분되기도 합니다. 게임기획부터 개발, 디자인에 이르기까지 게임과 관련된 폭넓은 지식을 배우는 것이 게임공학과의 특성이라 할 수 있습니다.","수학, 과학, 예술, 생활ㆍ교양, 사회, 국어","수학ㆍ과학교과 : 수학Ⅰ, 수학Ⅱ, 확률과 통계, 물리학Ⅰ, 지구과학Ⅰ<br>예술ㆍ사회교과 : 미술, 연극, 음악, 사회문화, 생활과 윤리, 세계사, 경제<br>생활ㆍ교양교과 : 정보, 심리학, 논술, 인문학적 감성과 역사이해, 문학적 감성과 상상력","미술창작, 미술/음악 감상과 비평, 사회문제 탐구, 고전 읽기, 융합 과학, 지식재산 일반, 창의 경영, 수학탐구 과제, 기하"
10139,경영정보학과,컴퓨터와 데이터에 대해 관심을 가질 필요가 있습니다. 창의적인 문제 해결 및 응용 능력이 필요하며 데이터를 다루는 기술과 분석 능력이 요구됩니다. 빅데이터에 관심을 가지고 응용해보려는 노력이 필요합니다. ,"경영정보학은 경영에 정보기술을 효과적으로 활용하는 방안을 다루기 때문에 진로선택의 폭이 매우 넓은 편 입니다. 경영을 중심으로 공부할 수도 있고, 인터넷을 비롯해 정보기술의 활용을 중심으로 공부할 수 있으며, 경영과 정보기술의 융합영역을 공부할 수도 있습니다. 또한, 경영정보학과는 현장의 수요에 맞는 교과과정을 운영하여, 실무형 인재를 양성하고자 국제적 감각을 높이기 위한 영어강좌를 운영하여, 외국 대학과 학생 간의 교류도 이루어지고 있습니다.","영어, 사회, 생활ㆍ교양","영어교과 : 영어 회화, 영어I, 영어Ⅱ<br>사회교과 : 한국지리, 세계지리, 경제, 사회ㆍ문화, 생활과 윤리<br>생활ㆍ교양교과 : 심리학, 교육학, 실용 경제","실용 수학, 실용 영어, 진로 영어, 사회문제 탐구, 창의 경영, 지식 재산 일반"
23,경영학과,"조직에서 팀워크를 이루어 목표를 세우고, 성과를 높이기 위해 노력하고 경영 활동을 분석하는 것에 흥미가 있다면 경영학에 매력을 느낄 것입니다. 또, 기업경영의 추세가 빈번히 변화하는 특성이 있으므로, 유연하고 창의적인 사람이 적성에 맞을 것입니다. ‘경영’이란 혼자가 아니라 조직을 통해 수행하는 것이므로 활동적이고 사교적이면 더욱 좋습니다. ","경영학은 실용적인 학문으로 평가되며 학생들의 선호도가 높은 학과 중 하나입니다. 경영학과의 역사는 다른 학문 영역에 비해 짧은 편이지만, 이론과 현실을 접합하여 업무 현장에서 활용되는 기술을 배우며, 조직의 생산성을 높이기 위한 문제해결 능력을 익힐 수 있습니다. 특히 신기술 창업 기업을 효율적으로 운영할 수 있는 노하우도 기를 수 있습니다.","수학, 사회, 기술ㆍ가정, 생활ㆍ교양","수학교과 : 수학I, Ⅱ, 미적분, 확률과 통계<br>사회교과 : 경제, 생활과 윤리<br>기술ㆍ가정교과 : 정보<br>생활ㆍ교양교과 : 실용 경제","실용 수학, 기하, 경제 수학, 수학 과제 탐구, 사회문제 탐구, 창의 경영, 지식 재산 일반"
25,경제학과,"평소에 신문, 텔레비전에서 경제 뉴스를 보는 것을 즐긴다거나, 학교 다닐 때 선택과목으로 경제를 즐겁게 공부한 경험이 있다면 대학교에서도 경제학을 흥미롭게 공부할 수 있을 것입니다. 한편, 경제학에서는 여러 그래프, 수식 및 통계를 다루므로 수리적인 능력이 있으면 유리합니다. 또, 경제 현상을 분석하는 논리력이 필요하므로 평소에 합리적, 논리적으로 생각하는 습관에 길들여져 있으면 좋습니다.","단순히 ‘돈에 대한 학문’이라 오해할 수도 있지만, 경제학과는 ‘한정된 자원을 놓고 일어나는 인간의 행동과 그 결과를 공부합니다. 그런 점에서 기업 경영에 대해 주로 공부하는 경영학과와는 차별점을 두고 있습니다.","수학, 과학, 기술ㆍ가정, 생활ㆍ교양","수학교과 : 수학Ⅰ, Ⅱ, 미적분, 확률과 통계<br>사회교과 : 경제, 생활과 윤리<br>기술ㆍ가정교과 : 정보<br>생활ㆍ교양교과 : 실용 경제  ","실용 수학, 기하, 경제 수학, 수학 과제 탐구, 사회문제 탐구, 지식 재산 일반"
