majorSeq,major,interest,property,공통과목,일반선택과목,진로선택과목,lClass,class_type
10006,가정교육과,"평소 친구, 가족, 주변 사람 등 사람에 대해 관심이 많거나 주변 사람의 고민을 들어 주는 상담에 흥미가 있다면 이 학과에 관심을 가져 볼 만합니다. 특히 인간에 대한 사랑과 타인에 대한 배려, 봉사 정신 등이 있다면 학과 공부에 도움이 됩니다. 기술ㆍ가정 교과목이나 심리 및 교육에 적성이 있다면 도움이 됩니다. ","영양학, 의류학, 주거학, 가족학 등의 교과내용학을 배웁니다. 가정과교육론, 가정과교수법 등의 교과교육학에 대한 전문적인 지식을 배웁니다. 조리실습, 의복구성실습, 주거실습 등을 통해 가정교과에 대한 이론적인 지식뿐 아니라 서양의복 구성, 한국 조리 및 서양 조리 실습, 조리과학 등의 실험ㆍ실습 교과목을 통하여 실천적 능력을 함양합니다.","영어, 기술ㆍ가정, 윤리","기술ㆍ가정교과 : 기술ㆍ가정<br>사회교과 : 생활과 윤리, 윤리와 사상<br>교양교과 : 철학, 심리학, 교육학","공학일반, 창의경영, 해양 문화와 기술, 가정과학, 지식재산 일반",교육계열,문과계열
21002,건설공학교육과,"건축과 토목에 대한 관심을 바탕으로 재료에 대한 특성에 적성이 있고 기본적으로 수학이나 물리학 과목에서 다루는 수식을 계산하는 것을 좋아하는 학생들에게 적합합니다. 특히 건축, 토목, 도로, 항만, 시설, 구조학 등과 같은 분야에 흥미가 있으면 좋습니다. 새로운 것에 호기심이 많고 궁금증을 풀기 위해 끝까지 노력하는 성격이면 더욱 좋습니다. 복잡한 시스템의 구조를 정확하게 분석하고 잘 이해할 수 있는 능력이 있으면 유리합니다.",건설공학교육과는 건설공학분야 교사 및 전문가로서 지식과 역량을 갖출 수 있도록 건설공학 전반에 대한 교과이론 및 NCS 기반 실험실습을 교육하고 건설에 대한 이론과 실무 능력을 배양하며 일반교육학 및 교과교육학 이수를 통해 교직에 대한 종합적인 이해와 교육관을 가진 교육전문가로서 능력을 함양하게 하여 건설공학 교육분야를 이끌어나갈 우수한 교사를 양성하고 교육 전문가 및 건설공학 현장 전문가로서 기술을 학습합니다. ,"수학, 과학","수학교과 : 수학ⅠㆍⅡ, 미적분, 확률과 통계<br>과학교과 : 물리학Ⅰ, 화학Ⅰ<br>기술ㆍ가정교과 : 기술ㆍ가정, 정보","기하, 수학과제 탐구, 물리학Ⅱ, 화학Ⅱ, 생활과 과학, 융합 과학, 공학 일반",교육계열,문과계열
10139,경영정보학과,컴퓨터와 데이터에 대해 관심을 가질 필요가 있습니다. 창의적인 문제 해결 및 응용 능력이 필요하며 데이터를 다루는 기술과 분석 능력이 요구됩니다. 빅데이터에 관심을 가지고 응용해보려는 노력이 필요합니다. ,"경영정보학은 경영에 정보기술을 효과적으로 활용하는 방안을 다루기 때문에 진로선택의 폭이 매우 넓은 편 입니다. 경영을 중심으로 공부할 수도 있고, 인터넷을 비롯해 정보기술의 활용을 중심으로 공부할 수 있으며, 경영과 정보기술의 융합영역을 공부할 수도 있습니다. 또한, 경영정보학과는 현장의 수요에 맞는 교과과정을 운영하여, 실무형 인재를 양성하고자 국제적 감각을 높이기 위한 영어강좌를 운영하여, 외국 대학과 학생 간의 교류도 이루어지고 있습니다.","영어, 사회, 생활ㆍ교양","영어교과 : 영어 회화, 영어I, 영어Ⅱ<br>사회교과 : 한국지리, 세계지리, 경제, 사회ㆍ문화, 생활과 윤리<br>생활ㆍ교양교과 : 심리학, 교육학, 실용 경제","실용 수학, 실용 영어, 진로 영어, 사회문제 탐구, 창의 경영, 지식 재산 일반",사회계열,문과계열
23,경영학과,"조직에서 팀워크를 이루어 목표를 세우고, 성과를 높이기 위해 노력하고 경영 활동을 분석하는 것에 흥미가 있다면 경영학에 매력을 느낄 것입니다. 또, 기업경영의 추세가 빈번히 변화하는 특성이 있으므로, 유연하고 창의적인 사람이 적성에 맞을 것입니다. ‘경영’이란 혼자가 아니라 조직을 통해 수행하는 것이므로 활동적이고 사교적이면 더욱 좋습니다. ","경영학은 실용적인 학문으로 평가되며 학생들의 선호도가 높은 학과 중 하나입니다. 경영학과의 역사는 다른 학문 영역에 비해 짧은 편이지만, 이론과 현실을 접합하여 업무 현장에서 활용되는 기술을 배우며, 조직의 생산성을 높이기 위한 문제해결 능력을 익힐 수 있습니다. 특히 신기술 창업 기업을 효율적으로 운영할 수 있는 노하우도 기를 수 있습니다.","수학, 사회, 기술ㆍ가정, 생활ㆍ교양","수학교과 : 수학I, Ⅱ, 미적분, 확률과 통계<br>사회교과 : 경제, 생활과 윤리<br>기술ㆍ가정교과 : 정보<br>생활ㆍ교양교과 : 실용 경제","실용 수학, 기하, 경제 수학, 수학 과제 탐구, 사회문제 탐구, 창의 경영, 지식 재산 일반",사회계열,문과계열
25,경제학과,"평소에 신문, 텔레비전에서 경제 뉴스를 보는 것을 즐긴다거나, 학교 다닐 때 선택과목으로 경제를 즐겁게 공부한 경험이 있다면 대학교에서도 경제학을 흥미롭게 공부할 수 있을 것입니다. 한편, 경제학에서는 여러 그래프, 수식 및 통계를 다루므로 수리적인 능력이 있으면 유리합니다. 또, 경제 현상을 분석하는 논리력이 필요하므로 평소에 합리적, 논리적으로 생각하는 습관에 길들여져 있으면 좋습니다.","단순히 ‘돈에 대한 학문’이라 오해할 수도 있지만, 경제학과는 ‘한정된 자원을 놓고 일어나는 인간의 행동과 그 결과를 공부합니다. 그런 점에서 기업 경영에 대해 주로 공부하는 경영학과와는 차별점을 두고 있습니다.","수학, 과학, 기술ㆍ가정, 생활ㆍ교양","수학교과 : 수학Ⅰ, Ⅱ, 미적분, 확률과 통계<br>사회교과 : 경제, 생활과 윤리<br>기술ㆍ가정교과 : 정보<br>생활ㆍ교양교과 : 실용 경제  ","실용 수학, 기하, 경제 수학, 수학 과제 탐구, 사회문제 탐구, 지식 재산 일반",사회계열,문과계열
27,경찰행정학과,"경찰행정학과의 졸업생 대부분은 경찰관으로 진출합니다. 따라서 형사, 수사 등 경찰의 업무에 대한 관심이 필요합니다. 평소 뉴스나 신문을 통해 경찰관에 대해 이해하려는 노력도 필요합니다. 경찰 업무는 사람을 대상으로 하는 일이므로 사람을 존중하고, 어려운 처지에 있는 사람들을 잘 도와주는 책임감ㆍ사명감ㆍ봉사정신이 강한 학생에게 적합합니다. ","경찰행정학은 경찰의 업무를 체계적으로 수행할수 있도록 이끌어 주는 학문입니다. 실제 업무 수행을 위해서 경찰행정학과에서는 각종 이론적 지식과함께 무술, 체포술과 같은 무도 기술을 습득합니다. 또한 최근 각종 강력 범죄, 특수 범죄가 증가하는 등 고도로 조직화된 범죄에 대한 대처 능력을 지닌 인재양성을 위한 보다 전문적인 교육이 제공됩니다. ","사회, 생활ㆍ교양","사회교과 : 한국지리, 세계지리, 세계사, 경제, 정치와 법, 사회ㆍ문화, 생활과 윤리, 윤리와 사상<br>생활ㆍ교양교과 : 철학, 논리학, 심리학",사회문제 탐구,사회계열,문과계열
29,고고학과,"중ㆍ고등학교 때에 국사 및 세계사 등 역사 과목을 즐겁게 공부했으면 이 학과에 입학할 기본적인 조건을 갖춘 것이나 마찬가지입니다. 인간에 대한 깊은 호기심을 가지며, 인류와 사회의 발달 과정에 대해 흥미를 느낀다면 4년 내내 흥미를 가지고 공부할 수 있을 것입니다. 사료와 사료 사이의 여러 상황을 생각하는 상상력이 풍부하면 좋으며, 더불어 논리력을 갖추면 유리합니다. ","고고학과는 다양한 자료ㆍ유물을 바탕으로 인간과 사회 문제를 시간적 변화 속에서 분석한다는 점에서 모든 인문과학의 기초나 다름없습니다. 학과 특성상, 문화 유적 답사 및 유적 발굴 등 역사적 체험을 할 수도 있습니다. 고고학은 국제화 추세에 따라 세계 각 지역에 대한 전문적인 연구의 필요성이 급증하고 있으므로 고고학 관련 전공자에 대한 수요는 급증할 것으로 전망됩니다.","사회, 역사, 한문, 수학, 영어, 제2외국어","사회교과 : 사회문화, 세계사, 동아시아사, 한국지리, 윤리와 사상<br>한문ㆍ외국어교과 : 한문Ⅰ, 한문Ⅱ, 영어Ⅰ, 영어Ⅱ, 중국어Ⅰ, 일본어Ⅰ<br>수학교과 : 수학Ⅰ, 수학Ⅱ, 확률과 통계","사회문제 탐구, 고전 읽기, 고전과 윤리, 여행지리, 현대 세계의 변화",인문계열,문과계열
44,과학교육과,"학생들을 가르치는 일을 하게 될 가능성이 높으므로 누군가를 가르치면서 기쁨을 느끼거나 흥미를 느끼는 학생들에게 적합합니다. 과학과 밀접한 관련을 맺고 있는 과목들을 배우기에 평상시 사물을 꼼꼼하게 관찰하는 능력이 높으면 좋습니다. 논리적으로 사고할 수 있는 능력과 수리력도 있으면 도움이 됩니다.
과학교육을 전공하고자 하는 학생은 자연현상에 대한 많은 호기심과 관심, 풍부한 창의력과 관찰력, 논리적인 사고력, 다른 사람의 견해를 받아들일 수 있는 포용성이 필요합니다. ","학생들에게 창의적인 사고 능력을 키워 줄 수 있고, 알고 있는 지식을 효과적으로 전달할 수 있는 교육학적 방법론에 대한 공부를 합니다. 현재 물리, 생명과학, 공통과학 교사 양성을 중심으로 하고 있습니다. 탁월한 전문성이 있는 중ㆍ고등학교 과학교사, 과학교육연구자 및 학교 밖 과학교육전문가를 양성하기 위하여 과학 내용지식 뿐만 아니라 과학교과교육지식과 교수 실무능력을 함양합니다.","영어, 과학, 윤리","과학교과 : 물리학Ⅰ, 생명과학Ⅰ, 화학Ⅰ, 지구과학Ⅰ<br>사회교과 : 생활과 윤리, 윤리와 사상<br>교양교과 : 철학, 심리학, 교육학","실용수학, 기하, 물리학Ⅱ, 생명과학Ⅱ, 화학Ⅱ, 지구과학Ⅱ, 융합과학, 생활과 과학",교육계열,문과계열
46,관광경영학과,여행에 대해 흥미를 갖고 있어야 합니다. 지속 가능한 관광의 개념과 방법에 대한 고민이 필요하며 관광을 위한 외국어 사용 능력을 향상시켜야 합니다. 관광과 관련된 다양한 분석을 위한 통계 활용에 대한 관심이 필요합니다.,"관광산업을 ‘굴뚝 없는 산업’ 또는 ‘황금 알을 낳는 거위’라 표현하기도 하며, 이제 하나의 필수 생활 문화로 자리 잡고 있습니다. 주요 교육 내용으로는 호텔, 여행사, 리조트, 테마파크, 컨벤션, 카지노 등 관광산업을 구성하는 구체적인 업종별 경영 및 개발, 관리에 대한 이론 및 기술적 내용과 관광 정책, 관광 자원 및 상품 개발, 국제 관광 진흥, 관광 법규, 관광 경제학, 여가 부문 등이 있습니다. ","사회, 생활ㆍ교양","사회교과 : 한국지리, 세계지리, 사회ㆍ문화, 생활과 윤리<br>생활ㆍ교양교과 : 환경","실용 수학, 여행지리, 사회문제 탐구",사회계열,문과계열
54,광고홍보학과,"사회ㆍ문화와 관련된 현상 및 영화, 드라마, 광고,패션 등 다양한 콘텐츠에 관심이 많으며, 사람의 심리를 파악하고 분석하는 것을 좋아한다면 광고홍보학과에 매력을 느낄 것입니다. 또한, 최근 뉴미디어 등을 활용한 광고 및 홍보 콘텐츠가 급증하고 있으므로, 사람들의 눈과 마음을 사로잡을 만한 예술적인 감각을 지닌 사람, 설득력과 커뮤니케이션 능력이 좋은 사람들에게 유리한 학문입니다. ","광고홍보학과는 심리학, 경영학(마케팅) 등의 인접인문사회학과와 밀접한 관계를 맺고 있어, 해당 인접 학과를 간접적으로나마 공부할 수 있는 기회가 많습니다. 또, 위성, 인터넷 및 뉴미디어의 발달로 인해 광고홍보학도 그에 맞추어 다양한 커뮤니케이션 상황에서의 문제 해결 능력을 키울 수 있도록 하고 있습니다. ","국어, 사회, 생활ㆍ교양","국어교과 : 화법과 작문, 독서, 언어와 매체, 문학<br>사회교과 : 정치와 법, 사회ㆍ문화, 생활과 윤리<br>생활ㆍ교양교과 : 철학, 논리학, 심리학, 논술","실용 국어, 심화 국어, 고전 읽기, 여행지리, 사회문제 탐구",사회계열,문과계열
