학과명,유사도
생물산업기계공학과,0.3248344
전기제어공학과,0.31031102
제어계측공학과,0.30989796
작업치료학과,0.30376104
냉동공조공학과,0.29925793
미생물학과,0.29617202
환경화학과,0.28822047
기계설계공학과,0.28807297
기계공학과,0.2860769
정밀화학과,0.27660373
로봇공학과,0.27371824
지구환경과학과,0.27121037
생화학과,0.27107748
대기과학과,0.26511723
환경공학과,0.2604553
예술치료학과,0.25650382
에너지자원공학과,0.25483492
환경과학과,0.25177497
화학공학과,0.25118613
물류시스템공학과,0.25073594
응용소프트웨어공학과,0.24943765
나노공학과,0.24909517
시스템공학과,0.24541178
신소재공학과,0.24472818
공업화학과,0.24363235
메카트로닉스공학과,0.24141562
유전공학과,0.2407179
고분자공학과,0.23995197
컴퓨터과학과,0.23899242
우주과학과,0.23878296
시스템경영공학과,0.23716705
해양생명과학과,0.23690735
재료공학과,0.23545645
지구해양과학과,0.23510528
물리치료학과,0.23176427
의용공학과,0.22949022
치기공학과,0.22940993
금속공학과,0.22604427
환경보건학과,0.22443563
지구정보공학과,0.22352079
식품자원경제학과,0.22307026
생명공학과,0.217402
컴퓨터공학과,0.2164355
전기공학과,0.21348128
전기전자공학과,0.21272962
해양시스템학과,0.21187805
말특수동물학과,0.21022727
한약자원학과,0.2100304
동물자원학과,0.20956606
의류ㆍ의상학과,0.20940086
자동차공학과,0.20918143
모바일시스템공학과,0.20742548
농공학과,0.2066516
식물자원학과,0.20499471
산업공학과,0.20377034
원자력공학과,0.20352827
임상병리학과,0.20312749
조선공학과,0.20007606
세라믹공학과,0.19996825
광학공학과,0.19966441
생물학과,0.19835263
제약공학과,0.19755945
화학과,0.19696909
섬유공학과,0.19607055
의료정보공학과,0.19492151
반도체학과,0.1934169
화장품과학과,0.19232002
교양자연과학부,0.18977748
치의예과,0.18949056
도시공학과,0.18929423
식량자원학과,0.18898523
식품공학과,0.1884369
무인항공학과,0.1870792
게임공학과,0.18675473
제지공학과,0.18374091
안전공학과,0.18325429
식품영양학과,0.18260898
전자공학과,0.18075962
방사선학과,0.18027397
물리학과,0.17749065
수의학과,0.17494571
해양자원학과,0.17441426
교양생활과학부,0.1710075
천문학과,0.16148585
해양공학과,0.16100767
소프트웨어공학과,0.16047594
보건관리학과,0.15990776
한의예과,0.15866002
재활학과,0.15756166
통계학과,0.15572396
생명과학과,0.15566272
한약학과,0.15496519
조리과학과,0.15310255
멀티미디어학과,0.15165868
항공운항학과,0.14810207
치위생학과,0.14807779
디지털콘텐츠학과,0.1473669
항공우주공학과,0.14720292
IT융합학과,0.146086
수산학과,0.14403507
원예학과,0.14383587
정보통신공학과,0.14034042
항해학과,0.13661371
인터넷정보학과,0.13631408
교통공학과,0.13610837
산림자원학과,0.13525003
임산공학과,0.13458425
건축공학과,0.13381357
지질학과,0.1328301
정보보호학과,0.13258454
의예과,0.12670106
약학부,0.12604846
토목공학과,0.12519544
지적학과,0.12495187
교양공학부,0.12023064
간호학과,0.11475317
조경학과,0.11150144
응급구조학과,0.10838682
축산학과,0.10713605
소방방재학과,0.09675172
국방기술학과,0.096332215
건축학과,0.09528363
수학과,0.074993305
아동가족학과,0.07466195
사이버국방학과,0.063261285
지리학과,0.051326063
